,name_numbers,author,holding,lawyers_judge
Medisim Ltd v BestMed LLC,"['Medisim Ltd. v. BestMed, LLC, 758 F.3d 1352 (2014)']","[' Prost, Chief']","[""s: The Court of Appeals, Prost, Chief Judge held that:\n\n[1] the retailer forfeited its right to move for judgment as a matter of law after jury verdict on anticipation claim;\n\n[2] the retailer preserved its right to move for judgment as a matter of law after jury verdict on unjust enrichment claim;\n\n[3] the retailer did not receive any benefit from the patentee; and\n\n[4] the District Court adequately explained the Court's reasoning in granting a new trial on the anticipation claim.\n\nAffirmed in part, vacated in part, and remanded.\n\n""]","['\n\n*1353  Scott S. Christie, McCarter & English, LLP, of Newark, NJ, argued for plaintiff-appellant. With him on the\nbrief were Keith J. McWha, Mark H. Anania, Matthew A. Sklar, and Elina Slavin. Of counsel was Gerald Levy, of\nNew York, N.Y.\n\nDan L. Bagatell, Perkins Coie, LLP, of Phoenix, AZ, argued for defendant-appellee. With him on the brief were Matthew\nB. Du Mée; and David R. Pekarek Krohn, of Madison, WI.\n\nBefore PROST, Chief Judge, TARANTO and CHEN, Circuit Judges.\n\n']"
Teva Pharmaceuticals USA Inc v Sandoz Inc,"['Teva Pharmaceuticals USA, Inc. v. Sandoz, Inc., 723 F.3d 1363 (2013)']","[' Moore, Circuit']","[""s: The Court of Appeals, Moore, Circuit Judge, held that:\n\n[1] claims in patents regarding copolymer–1 having molecular weight of about 5 to 9 kilodaltons (kDa) were indefinite;\n\n[2] claims in patents regarding copolymer–1 having over 75% of its mole fraction within molecular weight range from\nabout 2 kDa to about 20 kDa were not indefinite;\n\n[3] patents were not invalid for lack of enablement;\n\n[4] patents were not invalid for obviousness;\n\n[5] “approximately 6:2:5:1” limitation in patents was literally infringed by competitors' proposed generic versions of drug;\n\n[6] issue of whether amino acid percentages in accused products met “approximately 6:2:5:1” limitation in patents was\nquestion of fact in infringement analysis; and\n\n[7] patentee's argument during prosecution did not constitute clear and unmistakable disclaimer.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cTeva Pharmaceuticals USA, Inc. v. Sandoz, Inc., 723 F.3d 1363 (2013)\n107 U.S.P.Q.2d 1655\n\nAffirmed in part, reversed in part, and remanded.\n\n""]","['\n\n*1366  Elizabeth J. Holland, Kenyon & Kenyon, LLP, of New York, NY, argued for plaintiffs-appellees. Of counsel on\nthe brief were William G. James, II, of Washington, DC; David M. Hashmall, Goodwin Procter, LLP, of New York, NY;\nJohn C. Englander, Henry C. Dinger, Daryl L. Wiesen, John T. Bennett, and Nicholas K. Mitrokostas, of Boston, MA.\n\nDeanne E. Maynard, Morrison & Foerster, LLP, of Washington, DC, argued for defendants-appellants, Sandoz Inc.,\net al. With her on the brief were Brian R. Matsui, and Marc A. Hearron; David C. Doyle, Anders T. Aannestad and\nBrian M. Kramer, of San Diego, CA.\n\nEvan  R.  Chesler,  Cravath  Swaine  &  Moore  LLP,  of  New  York,  NY,  argued  for  defendants-appellants,  Mylan\nPharmaceuticals, Inc., et al. On the brief were Shannon M. Bloodworth and Brandon M. White, Perkins Coie, LLP, of\nWashington, DC; and David L. Anstaett and David E. Jones, of Madison, WI. Of counsel was John Singleton Skilton,\nPerkins Coie, LLP, of Madison, WI.\n\nBefore RADER, Chief Judge, MOORE, Circuit Judge, and BENSON, District Judge. **\n\n']"
Cox Communications Inc v Sprint Communication Company LP,"['Cox Communications, Inc. v. Sprint Communication Company LP, 838 F.3d 1224 (2016)']",[],"[':] The Court of Appeals, Prost, Chief Judge, held that term “processing system” did not render the asserted\nclaims indefinite.\n\nReversed.\n\nNewman, Circuit Judge, filed separate opinion concurring in the judgment.\n\n']","['\n\nMICHAEL LOUIS BRODY, Winston & Strawn LLP, Chicago, IL, argued for plaintiffs-appellees. Also represented by\nSTEFFEN NATHANAEL JOHNSON, EIMERIC REIG–PLESSIS, Washington, DC; DAVID SPENCER BLOCH,\nSan Francisco, CA; KRISHNAN PADMANABHAN, New York, NY.\n\nJ.  MICHAEL  JAKES,  Finnegan,  Henderson,  Farabow,  Garrett  &  Dunner,  LLP,  Washington,  DC,  argued  for\ndefendants-appellants.  Also  represented  by  BASIL  TRENT  WEBB,  PETER  EMANUEL  STRAND,  AARON  E.\nHANKEL,  JOHN  D.  GARRETSON,  RYAN  DYKAL,  Shook,  Hardy  &  Bacon,  LLP,  Kansas  City,  MO;  ROB\nRECKERS, Houston, TX.\n\nBefore Prost, Chief Judge, Newman and Bryson, Circuit Judges.\n\n']"
Daiichi Sankyo Co Ltd v Lee,"['Daiichi Sankyo Co., Ltd. v. Lee, 791 F.3d 1373 (2015)']","[' Reyna, Circuit']","[""s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] the PTO did not abuse its discretion by determining not to accept petitions for administrative review filed more than\n180 days after the patent grant, and\n\n[2] the PTO's extension of an optional, interim procedure only to patents issued in a 180-day window was not arbitrary\nand capricious.\n\nAffirmed.\n\n""]","[""\n\n*1374  Daryl Joseffer, King & Spalding LLP, Washington, DC, argued for plaintiff-appellant. Also represented by\nAdam Conrad, Charlotte, NC; Kenneth H. Sonnenfeld, Margaret B. Brivanlou, Michael P. Dougherty, New York, N.Y.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cDaiichi Sankyo Co., Ltd. v. Lee, 791 F.3d 1373 (2015)\n115 U.S.P.Q.2d 1653\n\nBrian Thomas Racilla, Office of the Solicitor, United States Patent and Trademark Office, Alexandria, VA, argued\nfor defendant-appellee. Also represented by Nathan K. Kelley, Farheena Yasmeen Rasheed; John G. Interrante, U.S.\nAttorney's Office, Washington, DC.\n\nBefore MOORE, REYNA, and TARANTO, Circuit Judges.\n\n""]"
Marvin Furniture (Shanghai) Co Ltd v US,"['Marvin Furniture (Shanghai) Co., Ltd. v. U.S., 744 F.3d 1319 (2014)']","[' Reyna, Circuit']","[""s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] the importer's failure to provide the correct date of first entry warranted rescission of new shipper review, and\n\n[2] the Department of Commerce's administrative interpretation of the antidumping statute was reasonable.\n\nAffirmed.\n\n""]","[""\n\n*1320  John M. Peterson, Neville Peterson LLP, of New York, New York, argued for  *1321  plaintiff-appellant. With\nhim on the brief was Richard F. O'Neill.\n\nClaudia Burke, Assistant Director, Commercial Litigation Branch, Civil Division, United States Department of Justice,\nof Washington, DC, argued for defendant-appellee United States. On the brief were Stuart F. Delery, Acting Assistant\nAttorney General, Jeanne E. Davidson, Director, Patricia M. McCarthy, Assistant Director, and Carrie A. Dunsmore,\nTrial  Attorney.  Of  counsel  on  the  brief  was  Shana  Hofstetter,  Attorney,  Office  of  the  Chief  Counsel  for  Import\nAdministration, United States Department of Commerce, of Washington, DC.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n2\n\n\x0cMarvin Furniture (Shanghai) Co., Ltd. v. U.S., 744 F.3d 1319 (2014)\n35 ITRD 2585\n\nJames Michael Taylor, King & Spalding, LLP, of Washington, DC, argued for defendants-appellees American Furniture\nManufacturers Committee for Legal Trade, et al. With him on the brief were Joseph W. Dorn and P. Lee Smith. Of\ncounsel was Daniel Schneiderman.\n\nBefore RADER, Chief Judge, PROST, and REYNA, Circuit Judges.\n\n""]"
Function Media LLC v Google Inc,"['Function Media, L.L.C. v. Google, Inc., 708 F.3d 1310 (2013)']","[' Reyna, Circuit']","[""s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] patent did not provide any disclosure of structure for “transmitting” function, and thus claim was invalid for failure\nto satisfy definiteness requirement;\n\n[2] proving that person of ordinary skill could devise some method to perform “transmitting” function on invention was\nnot sufficient to satisfy patent definiteness requirement;\n\n[3]  “processing”  term  in  patent  meant  executing  systematic  sequence  of  mathematical  or  logical  operations  upon\ncustomized electronic advertisement to make it comply with presentation rules of Internet media venues;\n\n[4] phrase, “publishing the electronic advertisement to one or more of the selected internet media venues,” in patent\nmeant placing or making available the customized electronic advertisement within the framework of and at each internet\nmedia venue so that it is accessible by the end users, consumers, viewers, or buyers;\n\n[5] patentee was not required to object to its own testimony on point that was in accord with claim construction that it\nhad proposed and that court had adopted;\n\n[6] competitor's arguments to jury about claim scope did not subvert jury's ability to fairly decide issues before it;\n\n[7] jury verdicts regarding anticipation and patent invalidity were general verdicts, not special verdicts; and\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n1\n\n\x0cFunction Media, L.L.C. v. Google, Inc., 708 F.3d 1310 (2013)\n105 U.S.P.Q.2d 1754\n\n[8] argument that jury verdict was result of misapprehension of law, specifically that claims could have one meaning for\ninfringement and another for anticipation, did not amount to clear showing of absolute absence of evidence to support\njury's verdict of infringement, as required for new trial.\n\nAffirmed.\n\n""]","['\n\n*1314  Justin A. Nelson, Susman Godfrey L.L.P, of Seattle, WA, argued for plaintiff-appellant. With him on the brief\nwere Max L. Tribble, Jr. and Joseph S. Grinstein, of Houston, TX.\n\nCharles K. Verhoeven, Quinn Emanuel Urquhart & Sullivan LLP, of San Francisco, CA, argued for defendant-appellee.\nWith him on the brief were Amy H. Candido and Carl G. Anderson; and Edward J. De Franco, of New York, NY.\n\nBefore RADER, Chief Judge, NEWMAN, and REYNA, Circuit Judges.\n\n']"
Rembrandt Vision Technologies LP v Johnson And Johnson Vision Care Inc,"['Rembrandt Vision Technologies, L.P. v. Johnson & Johnson..., 818 F.3d 1320 (2016)']","[' Stoll, Circuit']","[""s: The Court of Appeals, Stoll, Circuit Judge, held that:\n\n[1] false testimony of expert witness for competitor denied patent owner a full and fair opportunity to present its case, and\n\n[2] competitor engaged in fraud with respect to withholding of contradictory test results on third-party lenses known to\ninfringe and generated at request of competitor's counsel.\n\nReversed and remanded.\n\nDyk, Circuit Judge, filed a dissenting opinion.\n\n""]","['\n\n*1322  Eric John Magnuson, Robins Kaplan LLP, Minneapolis, MN, argued for plaintiff-appellant. Also represented\nby Ronald James Schutz, Jacob M. Holdreith, Brenda L. Joly, Jamie R. Kurtz, Ryan Michael Schultz.\n\nGregory  Diskant,  Patterson  Belknap  Webb  &  Tyler  LLP,  New  York,  NY,  argued  for  defendant-appellee.  Also\nrepresented by Eugene M. Gelernter; Timothy Joseph Barron, Sr., Jenner & Block LLP, Chicago, IL; Charles Davison\nHoffmann, Hoffmann Marshall Strong LLP, New York, NY.\n\nBefore DYK, MOORE, and STOLL, Circuit Judges.\n\n']"
OSRAM Sylvania Inc v American Induction Technologies Inc,"['OSRAM Sylvania, Inc. v. American Induction Technologies, Inc., 701 F.3d 698 (2012)']","["" O'Malley, Circuit""]","[""s: The Court of Appeals, O'Malley, Circuit Judge, held that:\n\n[1] factual issue existed on claim that patent had been anticipated;\n\n[2] competitor did not face enhanced burden in establishing anticipation because examiner considered prior art patent\nduring prosecution of patent in suit; and\n\n[3] factual issue existed as to whether one of ordinary skill would consider lamp shape to be irrelevant.\n\nReversed and remanded.\n\n""]","[""\n\n*700  Gregg F. Locascio, Kirkland & Ellis, LLP, of Washington, DC, argued for plaintiff-appellant. With him on the\nbrief were Nathan S. Mammen and Leslie M. Schmidt. Of counsel on the brief was Steven M. Coyle, Cantor Colburn\nLLP, of Hartford, CT.\n\nGlenn W. Trost, Connolly Bove Lodge & Hutz, LLP, of Los Angeles, CA, argued for defendant-cross appellant.\n\nBefore O'MALLEY, PLAGER, and REYNA, Circuit Judges.\n\n""]"
Cumberland Pharmaceuticals Inc v Mylan Institutional LLC,"['Cumberland Pharmaceuticals Inc. v. Mylan Institutional LLC, 846 F.3d 1213 (2017)']","[' Taranto, Circuit']","[""s: The Court of Appeals, Taranto, Circuit Judge, held that:\n\n[1] evidence supported district court's finding that patent was not invalid based on derivation, and\n\n[2] district court did not clearly err in finding that patent was not invalid for obviousness.\n\nAffirmed.\n\n""]","['\n\nLAURA POLLARD MASUROVSKY, Finnegan, Henderson, Farabow, Garrett & Dunner, LLP, Washington, DC,\nargued for plaintiff-appellee. Also represented by DANIELLE ANDREA DUSZCZYSZYN, MARK J. FELDSTEIN,\nJASON LEE ROMRELL.\n\n © 2018 Thomson Reuters. No claim to original U.S. Government Works.\n\n3\n\n\x0cCumberland Pharmaceuticals Inc. v. Mylan Institutional LLC, 846 F.3d 1213 (2017)\n121 U.S.P.Q.2d 1416\n\nNICOLE W. STAFFORD, Wilson, Sonsini, Goodrich & Rosati, PC, Austin, TX, argued for defendants-appellants.\nAlso represented by ROBERT DELAFIELD; ADAM WILLIAM BURROWBRIDGE, Washington, DC; ELHAM\nFIROUZI STEINER, San Diego, CA; NANCY L. ZHANG, Palo Alto, CA.\n\nBefore Moore, Reyna, and Taranto, Circuit Judges.\n\n']"
WiLAN Inc v Kilpatrick Townsend And Stockton LLP,"['Wi-LAN, Inc. v. Kilpatrick Townsend & Stockton LLP, 684 F.3d 1364 (2012)']","[' Clevenger, Circuit']","[""s: The Court of Appeals, Clevenger, Circuit Judge, held that:\n\n[1] owner's pre-litigation disclosure of opinion letter waived owner's confidentiality, as well as owner's attorney-client\nprivilege, at least as to letter itself;\n\n[2]  Ninth  Circuit  law  mandated  fairness  considerations  when  determining  scope  of  express  extrajudicial  waiver  of\nattorney-client privilege; and\n\n[3] finding of legal error did not necessarily relieve law firm of penalty.\n\nVacated and remanded.\n\nReyna, Circuit Judge, filed dubitante opinion.\n\n""]","['\n\n*1366  David E. Sipiora, Kilpatrick Townsend & Stockton LLP, of Denver, CO, argued for sanctioned party-appellant.\nWith him on the brief were Matthew C. Holohan; and Richard S. Meyer, of Washington, DC; and Adam H. Charnes\nand Richard D. Dietz, of Winston–Salem, North Carolina.\n\nJames J. Lukas, Jr., Greenberg Traurig LLP, of Chicago, IL, argued for defendant-appellee. With him on the brief were\nRichard D. Harris and Matthew J. Levinstein.\n\nBefore MOORE, CLEVENGER, and REYNA, Circuit Judges.\n\n']"
PhilInsul Corp v Airlite Plastics Co,"['Phil-Insul Corp. v. Airlite Plastics Co., 854 F.3d 1344 (2017)']","[' O’Malley, Circuit']","[""s: The Court of Appeals, O’Malley, Circuit Judge, held that:\n\n[1] prior infringement proceeding, wherein Court of Appeals summarily affirmed without opinion District Court's claim\nconstructions for patent, collaterally estopped assignee from re-litigating claim constructions in subsequent infringement\nproceeding, and\n\n[2] infringement claims in subsequent proceeding were the same as infringement claims that assignee litigated and lost\nin prior infringement proceeding, and thus, prior proceeding, wherein Court of Appeals summarily affirmed without\nopinion District Court's judgments of noninfringement, collaterally estopped assignee from re-litigating infringement\nclaims.\n\nAffirmed.\n\n""]","['\n\nPaul Adams, The Adams Law Firm, Albuquerque, NM, argued for plaintiff-appellant.\n\nLouis  DiSanto,  Banner  &  Witcoff,  Ltd.,  Chicago,  IL,  argued  for  defendants-appellees.  Also  represented  by  Jon  O.\nNelson.\n\nBefore O’Malley, Bryson, and Wallach, Circuit Judges.\n\n']"
Pregis Corp v Kappos,"['Pregis Corp. v. Kappos, 700 F.3d 1348 (2012)']","[' Reyna, Circuit']","['s: The Court of Appeals, Reyna, Circuit Judge, held that:\n\n[1] jury reasonably could have found that those skilled in the art would have been motivated to simplify prior art machine,\nand thus patents relating to air-pillow packaging were obvious;\n\n[2]  commercial  success  and  purported  copied  features  of  embodiment  of  patent  on  pillow  cushion  packaging  was\nuninformative to obviousness determination; and\n\n[3] competitor was not entitled under Administrative Procedure Act (APA) to judicial review of decision of Patent and\nTrademark Office (PTO) to grant patents in suit.\n\nAffirmed.\n\n']","['\n\n*1350  James W. Dabney, Fried Frank Harris Shriver, of New York, NY, argued for plaintiff-cross appellant. With\nhim on the brief were Stephen S. Rabinowitz and Henry C. Lebowitz; John F. Duffy, of Washington, DC.\n\nScott R. McIntosh, Attorney, Appellate Staff, Civil Division, United States Department of Justice, of Washington, DC,\nargued  *1351  for defendants-appellees. With him on the brief were Tony West, Assistant Attorney General, and Neil\nH. MacBride, United States Attorney. Of counsel on the brief were Raymond T. Chen, Solicitor, and Scott Weidenfeller,\nAssociate Solicitor, United States Patent and Trademark Office, of Alexandra, VA.\n\nRobert Francis Altherr, Jr., Banner & Witcoff, Ltd., of Washington, DC, argued for defendant-appellant. With him on\nthe brief were Joseph M. Potenza, Bradley C. Wright, Christopher B. Roth and Nina L. Medlock.\n\nBefore PROST, CLEVENGER, and REYNA, Circuit Judges.\n\n']"
